Sex;Age;Periodo;Total
Both genders;18 years old;2012;5.938
Both genders;18 years old;2011;7.339
Both genders;18 years old;2010;6.996
Both genders;18 years old;2009;8.359
Both genders;18 years old;2008;12.667
Both genders;19 years old;2021;10.988
Both genders;19 years old;2020;9.089
Both genders;19 years old;2019;15.150
Both genders;19 years old;2018;12.612
Both genders;19 years old;2017;10.768
Both genders;19 years old;2016;8.208
Both genders;19 years old;2015;6.759
Both genders;19 years old;2014;6.249
Both genders;19 years old;2013;5.691
Both genders;19 years old;2012;6.270
Both genders;19 years old;2011;7.756
Both genders;19 years old;2010;7.770
Both genders;19 years old;2009;8.866
Both genders;19 years old;2008;13.340
Both genders;20 years old;2021;11.066
Both genders;20 years old;2020;9.595
Both genders;20 years old;2019;15.887
Both genders;20 years old;2018;13.900
Both genders;20 years old;2017;11.677
Both genders;20 years old;2016;8.892
Both genders;20 years old;2015;7.373
Both genders;20 years old;2014;6.899
Both genders;20 years old;2013;6.309
Both genders;20 years old;2012;7.094
Both genders;20 years old;2011;8.792
Both genders;20 years old;2010;9.235
Both genders;20 years old;2009;9.914
Both genders;20 years old;2008;15.593
Both genders;21 years old;2021;11.474
Both genders;21 years old;2020;9.907
Both genders;21 years old;2019;17.067
Both genders;21 years old;2018;14.958
Both genders;21 years old;2017;12.258
Both genders;21 years old;2016;8.996
Both genders;21 years old;2015;7.706
Both genders;21 years old;2014;7.119
Both genders;21 years old;2013;6.471
Both genders;21 years old;2012;7.714
Both genders;21 years old;2011;9.785
Both genders;21 years old;2010;9.709
Both genders;21 years old;2009;10.581
Both genders;21 years old;2008;16.974
Both genders;22 years old;2021;12.433
Both genders;22 years old;2020;11.630
Both genders;22 years old;2019;18.851
Both genders;22 years old;2018;16.489
Both genders;22 years old;2017;13.692
Both genders;22 years old;2016;10.045
Both genders;22 years old;2015;8.542
Both genders;22 years old;2014;7.841
Both genders;22 years old;2013;7.410
Both genders;22 years old;2012;8.735
Both genders;22 years old;2011;10.769
Both genders;22 years old;2010;10.513
Both genders;22 years old;2009;11.632
Both genders;22 years old;2008;18.487
Both genders;23 years old;2021;13.557
Both genders;23 years old;2020;12.278
Both genders;23 years old;2019;20.623
Both genders;23 years old;2018;17.967
Both genders;23 years old;2017;14.800
Both genders;23 years old;2016;10.990
Both genders;23 years old;2015;9.192
Both genders;23 years old;2014;8.478
Both genders;23 years old;2013;8.406
Both genders;23 years old;2012;9.347
Both genders;23 years old;2011;11.524
Both genders;23 years old;2010;11.231
Both genders;23 years old;2009;12.326
Both genders;23 years old;2008;19.887
Both genders;24 years old;2021;14.090
Both genders;24 years old;2020;12.894
Both genders;24 years old;2019;21.995
Both genders;24 years old;2018;19.138
Both genders;24 years old;2017;15.768
Both genders;24 years old;2016;11.727
Both genders;24 years old;2015;9.908
Both genders;24 years old;2014;8.989
Both genders;24 years old;2013;8.488
Both genders;24 years old;2012;9.647
Both genders;24 years old;2011;11.930
Both genders;24 years old;2010;11.583
Both genders;24 years old;2009;12.802
Both genders;24 years old;2008;20.743
Both genders;25 years old;2021;14.976
