Sex;Age;Periodo;Total
Both genders;26 years old;2010;12.723
Both genders;26 years old;2009;12.380
Both genders;26 years old;2008;9.888
Both genders;27 years old;2021;9.356
Both genders;27 years old;2020;6.029
Both genders;27 years old;2019;7.708
Both genders;27 years old;2018;7.215
Both genders;27 years old;2017;8.665
Both genders;27 years old;2016;8.276
Both genders;27 years old;2015;9.245
Both genders;27 years old;2014;10.897
Both genders;27 years old;2013;15.973
Both genders;27 years old;2012;13.654
Both genders;27 years old;2011;12.780
Both genders;27 years old;2010;13.060
Both genders;27 years old;2009;13.106
Both genders;27 years old;2008;10.210
Both genders;28 years old;2021;9.720
Both genders;28 years old;2020;6.358
Both genders;28 years old;2019;8.107
Both genders;28 years old;2018;7.750
Both genders;28 years old;2017;9.150
Both genders;28 years old;2016;8.543
Both genders;28 years old;2015;9.779
Both genders;28 years old;2014;11.835
Both genders;28 years old;2013;16.504
Both genders;28 years old;2012;14.208
Both genders;28 years old;2011;13.783
Both genders;28 years old;2010;14.220
Both genders;28 years old;2009;13.782
Both genders;28 years old;2008;10.762
Both genders;29 years old;2021;9.750
Both genders;29 years old;2020;6.613
Both genders;29 years old;2019;8.132
Both genders;29 years old;2018;7.769
Both genders;29 years old;2017;9.351
Both genders;29 years old;2016;8.873
Both genders;29 years old;2015;9.665
Both genders;29 years old;2014;12.186
Both genders;29 years old;2013;17.256
Both genders;29 years old;2012;14.870
Both genders;29 years old;2011;14.416
Both genders;29 years old;2010;14.416
Both genders;29 years old;2009;14.138
Both genders;29 years old;2008;10.350
Both genders;30 years old;2021;9.568
Both genders;30 years old;2020;6.559
Both genders;30 years old;2019;8.118
Both genders;30 years old;2018;7.686
Both genders;30 years old;2017;9.440
Both genders;30 years old;2016;8.789
Both genders;30 years old;2015;9.845
Both genders;30 years old;2014;12.444
Both genders;30 years old;2013;17.957
Both genders;30 years old;2012;16.120
Both genders;30 years old;2011;14.418
Both genders;30 years old;2010;14.775
Both genders;30 years old;2009;13.668
Both genders;30 years old;2008;10.445
Both genders;31 years old;2021;9.835
Both genders;31 years old;2020;6.395
Both genders;31 years old;2019;8.167
Both genders;31 years old;2018;7.879
Both genders;31 years old;2017;9.405
Both genders;31 years old;2016;9.008
Both genders;31 years old;2015;10.212
Both genders;31 years old;2014;12.320
Both genders;31 years old;2013;18.171
Both genders;31 years old;2012;15.303
Both genders;31 years old;2011;14.648
Both genders;31 years old;2010;14.080
Both genders;31 years old;2009;13.260
Both genders;31 years old;2008;10.228
Both genders;32 years old;2021;9.783
Both genders;32 years old;2020;6.146
Both genders;32 years old;2019;7.938
Both genders;32 years old;2018;7.740
Both genders;32 years old;2017;9.486
Both genders;32 years old;2016;8.851
Both genders;32 years old;2015;9.786
Both genders;32 years old;2014;12.846
Both genders;32 years old;2013;17.590
Both genders;32 years old;2012;15.596
Both genders;32 years old;2011;14.324
Both genders;32 years old;2010;13.956
Both genders;32 years old;2009;12.762
Both genders;32 years old;2008;9.431
Both genders;33 years old;2021;9.503
Both genders;33 years old;2020;6.076
Both genders;33 years old;2019;7.820
Both genders;33 years old;2018;7.631
Both genders;33 years old;2017;9.437
Both genders;33 years old;2016;8.906
Both genders;33 years old;2015;10.319
Both genders;33 years old;2014;12.316
Both genders;33 years old;2013;17.580
Both genders;33 years old;2012;14.828
Both genders;33 years old;2011;13.610
Both genders;33 years old;2010;12.874
Both genders;33 years old;2009;12.185
Both genders;33 years old;2008;8.976
Both genders;34 years old;2021;9.304
Both genders;34 years old;2020;5.694
Both genders;34 years old;2019;7.296
Both genders;34 years old;2018;7.634
Both genders;34 years old;2017;9.428
Both genders;34 years old;2016;9.116
Both genders;34 years old;2015;9.889
Both genders;34 years old;2014;12.090
