Sex;Age;Functions;Period;Total
Both genders;33 years old;Mortality rate;2019;0.344412
Both genders;33 years old;Mortality rate;2018;0.380847
Both genders;34 years old;Mortality rate;2022;0.533816
Both genders;34 years old;Mortality rate;2021;0.487044
Both genders;34 years old;Mortality rate;2020;0.430021
Both genders;34 years old;Mortality rate;2019;0.406786
Both genders;34 years old;Mortality rate;2018;0.457735
Both genders;35 years old;Mortality rate;2022;0.484791
Both genders;35 years old;Mortality rate;2021;0.481610
Both genders;35 years old;Mortality rate;2020;0.444400
Both genders;35 years old;Mortality rate;2019;0.422526
Both genders;35 years old;Mortality rate;2018;0.476821
Both genders;36 years old;Mortality rate;2022;0.511754
Both genders;36 years old;Mortality rate;2021;0.515534
Both genders;36 years old;Mortality rate;2020;0.520914
Both genders;36 years old;Mortality rate;2019;0.438835
Both genders;36 years old;Mortality rate;2018;0.489449
Both genders;37 years old;Mortality rate;2022;0.562277
Both genders;37 years old;Mortality rate;2021;0.581440
Both genders;37 years old;Mortality rate;2020;0.589179
Both genders;37 years old;Mortality rate;2019;0.513384
Both genders;37 years old;Mortality rate;2018;0.498811
Both genders;38 years old;Mortality rate;2022;0.585765
Both genders;38 years old;Mortality rate;2021;0.628930
Both genders;38 years old;Mortality rate;2020;0.588409
Both genders;38 years old;Mortality rate;2019;0.573527
Both genders;38 years old;Mortality rate;2018;0.561748
Both genders;39 years old;Mortality rate;2022;0.653914
Both genders;39 years old;Mortality rate;2021;0.677119
Both genders;39 years old;Mortality rate;2020;0.696236
Both genders;39 years old;Mortality rate;2019;0.643029
Both genders;39 years old;Mortality rate;2018;0.628264
Both genders;40 years old;Mortality rate;2022;0.743916
Both genders;40 years old;Mortality rate;2021;0.764671
Both genders;40 years old;Mortality rate;2020;0.758599
Both genders;40 years old;Mortality rate;2019;0.630515
Both genders;40 years old;Mortality rate;2018;0.709758
Both genders;41 years old;Mortality rate;2022;0.820455
Both genders;41 years old;Mortality rate;2021;0.786299
Both genders;41 years old;Mortality rate;2020;0.768366
Both genders;41 years old;Mortality rate;2019;0.685786
Both genders;41 years old;Mortality rate;2018;0.781870
Both genders;42 years old;Mortality rate;2022;0.868174
Both genders;42 years old;Mortality rate;2021;0.815881
Both genders;42 years old;Mortality rate;2020;0.872689
Both genders;42 years old;Mortality rate;2019;0.794367
Both genders;42 years old;Mortality rate;2018;0.830984
Both genders;43 years old;Mortality rate;2022;0.955917
Both genders;43 years old;Mortality rate;2021;0.935732
Both genders;43 years old;Mortality rate;2020;0.977312
Both genders;43 years old;Mortality rate;2019;0.883044
Both genders;43 years old;Mortality rate;2018;0.981463
Both genders;44 years old;Mortality rate;2022;1.031949
Both genders;44 years old;Mortality rate;2021;1.035674
Both genders;44 years old;Mortality rate;2020;1.044388
Both genders;44 years old;Mortality rate;2019;0.918243
Both genders;44 years old;Mortality rate;2018;0.944338
Both genders;45 years old;Mortality rate;2022;1.134166
Both genders;45 years old;Mortality rate;2021;1.150635
Both genders;45 years old;Mortality rate;2020;1.233381
Both genders;45 years old;Mortality rate;2019;1.104043
Both genders;45 years old;Mortality rate;2018;1.148016
Both genders;46 years old;Mortality rate;2022;1.272945
Both genders;46 years old;Mortality rate;2021;1.327928
Both genders;46 years old;Mortality rate;2020;1.270644
Both genders;46 years old;Mortality rate;2019;1.255836
Both genders;46 years old;Mortality rate;2018;1.321492
Both genders;47 years old;Mortality rate;2022;1.306184
Both genders;47 years old;Mortality rate;2021;1.416715
Both genders;47 years old;Mortality rate;2020;1.504923
Both genders;47 years old;Mortality rate;2019;1.494313
Both genders;47 years old;Mortality rate;2018;1.513618
Both genders;48 years old;Mortality rate;2022;1.535108
Both genders;48 years old;Mortality rate;2021;1.602117
Both genders;48 years old;Mortality rate;2020;1.727831
Both genders;48 years old;Mortality rate;2019;1.662668
Both genders;48 years old;Mortality rate;2018;1.691852
Both genders;49 years old;Mortality rate;2022;1.730400
Both genders;49 years old;Mortality rate;2021;1.816249
Both genders;49 years old;Mortality rate;2020;1.929370
Both genders;49 years old;Mortality rate;2019;1.906011
Both genders;49 years old;Mortality rate;2018;1.937202
Both genders;50 years old;Mortality rate;2022;1.987928
Both genders;50 years old;Mortality rate;2021;2.022097
Both genders;50 years old;Mortality rate;2020;2.155438
Both genders;50 years old;Mortality rate;2019;2.058377
Both genders;50 years old;Mortality rate;2018;2.192320
Both genders;51 years old;Mortality rate;2022;2.299288
Both genders;51 years old;Mortality rate;2021;2.353120
Both genders;51 years old;Mortality rate;2020;2.374955
Both genders;51 years old;Mortality rate;2019;2.411662
Both genders;51 years old;Mortality rate;2018;2.435543
Both genders;52 years old;Mortality rate;2022;2.537353
Both genders;52 years old;Mortality rate;2021;2.561790
Both genders;52 years old;Mortality rate;2020;2.872086
Both genders;52 years old;Mortality rate;2019;2.659034
Both genders;52 years old;Mortality rate;2018;2.613161
Both genders;53 years old;Mortality rate;2022;2.871039
Both genders;53 years old;Mortality rate;2021;3.047179
Both genders;53 years old;Mortality rate;2020;3.203777
Both genders;53 years old;Mortality rate;2019;2.929265
Both genders;53 years old;Mortality rate;2018;2.988904
Both genders;54 years old;Mortality rate;2022;3.127190
Both genders;54 years old;Mortality rate;2021;3.227042
Both genders;54 years old;Mortality rate;2020;3.422473
Both genders;54 years old;Mortality rate;2019;3.333896
Both genders;54 years old;Mortality rate;2018;3.461329
Both genders;55 years old;Mortality rate;2022;3.468501
Both genders;55 years old;Mortality rate;2021;3.630988
Both genders;55 years old;Mortality rate;2020;3.842049
Both genders;55 years old;Mortality rate;2019;3.574991
Both genders;55 years old;Mortality rate;2018;3.741881
Both genders;56 years old;Mortality rate;2022;3.949174
Both genders;56 years old;Mortality rate;2021;3.991433
Both genders;56 years old;Mortality rate;2020;4.217598
Both genders;56 years old;Mortality rate;2019;4.074420
Both genders;56 years old;Mortality rate;2018;4.065735
Both genders;57 years old;Mortality rate;2022;4.367128
Both genders;57 years old;Mortality rate;2021;4.432207
Both genders;57 years old;Mortality rate;2020;4.651537
Both genders;57 years old;Mortality rate;2019;4.320187
Both genders;57 years old;Mortality rate;2018;4.423086
Both genders;58 years old;Mortality rate;2022;4.643485
Both genders;58 years old;Mortality rate;2021;4.846093
Both genders;58 years old;Mortality rate;2020;5.162757
Both genders;58 years old;Mortality rate;2019;4.524097
Both genders;58 years old;Mortality rate;2018;4.914317
Both genders;59 years old;Mortality rate;2022;5.274615
Both genders;59 years old;Mortality rate;2021;5.528064
Both genders;59 years old;Mortality rate;2020;5.470788
Both genders;59 years old;Mortality rate;2019;5.156959
Both genders;59 years old;Mortality rate;2018;5.269873
Both genders;60 years old;Mortality rate;2022;5.864615
Both genders;60 years old;Mortality rate;2021;5.880934
Both genders;60 years old;Mortality rate;2020;6.145147
Both genders;60 years old;Mortality rate;2019;5.638289
Both genders;60 years old;Mortality rate;2018;5.795561
Both genders;61 years old;Mortality rate;2022;6.241884
Both genders;61 years old;Mortality rate;2021;6.668627
Both genders;61 years old;Mortality rate;2020;6.711193
Both genders;61 years old;Mortality rate;2019;6.224957
Both genders;61 years old;Mortality rate;2018;6.347405
Both genders;62 years old;Mortality rate;2022;6.803869
Both genders;62 years old;Mortality rate;2021;7.112502
Both genders;62 years old;Mortality rate;2020;7.351462
Both genders;62 years old;Mortality rate;2019;6.651480
Both genders;62 years old;Mortality rate;2018;6.920922
Both genders;63 years old;Mortality rate;2022;7.522287
Both genders;63 years old;Mortality rate;2021;8.006298
Both genders;63 years old;Mortality rate;2020;8.090995
Both genders;63 years old;Mortality rate;2019;7.158837
Both genders;63 years old;Mortality rate;2018;7.452393
Both genders;64 years old;Mortality rate;2022;8.215424
Both genders;64 years old;Mortality rate;2021;8.340557
Both genders;64 years old;Mortality rate;2020;8.831238
Both genders;64 years old;Mortality rate;2019;7.884699
Both genders;64 years old;Mortality rate;2018;7.974388
Both genders;65 years old;Mortality rate;2022;9.093353
Both genders;65 years old;Mortality rate;2021;9.385726
Both genders;65 years old;Mortality rate;2020;9.589216
Both genders;65 years old;Mortality rate;2019;8.403319
Both genders;65 years old;Mortality rate;2018;8.512811
Both genders;66 years old;Mortality rate;2022;9.525984
Both genders;66 years old;Mortality rate;2021;10.063065
Both genders;66 years old;Mortality rate;2020;10.125759
Both genders;66 years old;Mortality rate;2019;9.168250
Both genders;66 years old;Mortality rate;2018;9.343741
Both genders;67 years old;Mortality rate;2022;10.443474
